時間,扣款平均金額（扣款金額/扣款人數）,扣款人數的增減幅度,扣款金額的增減幅度
2017/1月,,-28.92,
2017/2月,,,
2017/3月,,-0.75,
2017/4月,,-13.96,
2017/5月,,-2.35,
2017/6月,,-1.6,
2017/7月,,-18.43,
2017/8月,,-11.77,
2017/9月,,,
2017/10月,,-0.44,
2017/11月,,-3.8,
2017/12月,,-32.93,
2018/1月,,-70.11,
2018/2月,,-27.59,
2018/3月,,-24.78,
2018/4月,,-4.37,
2018/5月,,-16,
2018/6月,,-27.54,
2018/7月,,-0.43,
2018/8月,,-5.39,
2018/9月,,-2.72,
2018/10月,,-2.12,
2018/11月,,-2.9,
2018/12月,,-2.42,
2019/1月,,,
2019/2月,,,
2019/3月,,,
2019/4月,,,
2019/5月,,,
2019/6月,,,
2019/7月,,,
2019/8月,,,
2019/9月,,,
2019/10月,,,
2019/11月,,,
2019/12月,,,
,,4.17,
,,0.55,
,,0,
,,0,
,,0,
,,0,
,,0,
,,0,
,,-0.67,
,,-19.05,
,,-0.7,
,,-1.21,
,,-8.33,
,,-5.74,
,,-17.89,
,,-54.55,
,,-12.47,
,,-3.18,
,,-20.14,
,,-3.77,
,,-4.28,
,,-7.68,
,,-10.07,
,,-0.78,
,,-14.46,
,,-3.7,
,,-2.18,
,,-100,
,,-9.65,
,,-15.91,
,,-18.51,
,,-10.22,
,,-100,
,,-21.39,
,,-26.51,
,,-25,
,,-28.92,
,,4.72 ,
,<,-546.96,
